:   ID : executionTime     : executionResult : description  
:  202 :             0.203 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_tbl_reserv_wrd (pub_date, main_url, "tag") AS      
:  203 :             0.202 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_conv_cast_12 (col1) AS      
:  204 :             0.208 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_sum6 (text, error_msg) AS      
:  205 :             0.203 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_char_regexp_instr2 (col1) AS      
:  206 :             0.311 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_conv_cast_22 (col1) AS      
:  207 :             0.405 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_stddev_samp1 (col1, col2, col3, col4, col5) AS      
:  208 :             0.203 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_ratio_to_report2 (col1, col2, col3, col4, col5) AS      
:  209 :             0.273 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_account_group_by_cube_ext (currencyid, stateid, sum_acc_bal, avg_acc_bal) AS      
:  210 :             0.317 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_stddev16 (col1, col2, col3, col4, col5) AS      
:  211 :             0.205 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_percentile_disc5 (text, error_msg) AS      
:  212 :             0.234 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_variance5 (text, error_msg) AS      
:  213 :             0.206 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_first_value4 (text, error_msg) AS      
:  214 :             0.205 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_percentile_cont6 (text, error_msg) AS      
:  215 :             0.202 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_agr_count5 (col1) AS      
:  216 :             0.205 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_percentile_disc8 (text, error_msg) AS      
:  217 :             0.203 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_other_make_ref (text, error_msg) AS      
:  218 :             0.206 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_agr_regr_sxx (text, error_msg) AS      
:  219 :             0.203 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_var_samp16 (col1, col2, col3, col4, col5) AS      
:  220 :             0.203 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_stddev_pop4 (text, error_msg) AS      
:  221 :             0.203 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_median3 (col1, col2, col3, col4, col5) AS      
:  222 :             0.202 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_dual_01 (col) AS      
:  223 :             0.363 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_agr_stddev_pop1 (col1) AS      
:  224 :             0.203 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_account_arf_oper_chr (col1) AS      
:  225 :             0.220 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_account_comp_cond_any_some (id, accountno, currencyid, description, customerid, stateid, accountbalance, blockedamount, opendate, closedate, respmanagerid, bankid) AS      
:  226 :             0.203 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_conv_chartorowid (text, error_msg) AS      
:  227 :             0.203 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_conv_cast_23 (text, error_msg) AS      
:  228 :             0.204 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_variance22 (text, error_msg) AS      
:  229 :             0.341 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_conv_to_nchar4 (text, error_msg) AS      
:  230 :             0.203 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_win_max4 (text, error_msg) AS      
:  231 :             0.203 :         SUCCESS : CREATE OR REPLACE VIEW test_batch.v_account_rownum_01 (accountno, currencyid, description) AS      
