              Started ;          LogicalDisk ;          LogicalDisk ;          LogicalDisk ;          LogicalDisk ;          LogicalDisk ;          LogicalDisk ;           additional 
                      ;         % Free Space ;         % Free Space ;         % Free Space ;         % Free Space ;         % Free Space ;         % Free Space ;                      
                      ;      vm-dbmsys-stage ;      vm-dbmsys-stage ;      vm-dbmsys-stage ;      vm-dbmsys-stage ;      vm-dbmsys-stage ;      vm-dbmsys-stage ;                      
                      ;               _Total ;                   C: ;                   F: ;                   D: ;                   E: ;      HarddiskVolume1 ;                      
               24.050 ;               22.163 ;                0.000 ;               31.836 ;               13.911 ;               51.197 ;               94.983 ; Dbmsys.2018.10.24.134540240.json.gz 
               24.217 ;               22.166 ;                0.000 ;               31.856 ;               13.899 ;               51.197 ;               94.983 ; Dbmsys.2018.10.24.135543412.json.gz 
               24.383 ;               22.163 ;                0.000 ;               31.856 ;               13.893 ;               51.197 ;               94.983 ; Dbmsys.2018.10.24.140545330.json.gz 
               24.550 ;               22.172 ;                0.000 ;               31.875 ;               13.893 ;               51.197 ;               94.983 ; Dbmsys.2018.10.24.141547213.json.gz 
               24.717 ;               22.175 ;                0.000 ;               31.882 ;               13.893 ;               51.197 ;               94.983 ; Dbmsys.2018.10.24.142548465.json.gz 
               24.883 ;               22.225 ;                0.000 ;               32.010 ;               13.881 ;               51.197 ;               94.983 ; Dbmsys.2018.10.24.143549356.json.gz 
               25.050 ;               22.234 ;                0.000 ;               32.029 ;               13.880 ;               51.197 ;               94.983 ; Dbmsys.2018.10.24.144550316.json.gz 
               25.217 ;               22.226 ;                0.000 ;               32.029 ;               13.862 ;               51.197 ;               94.983 ; Dbmsys.2018.10.24.145551691.json.gz 
               25.383 ;               22.215 ;                0.000 ;               32.029 ;               13.838 ;               51.197 ;               94.983 ; Dbmsys.2018.10.24.150552684.json.gz 
               25.550 ;               22.215 ;                0.000 ;               32.029 ;               13.838 ;               51.197 ;               94.983 ; Dbmsys.2018.10.24.151553871.json.gz 
               25.717 ;               22.212 ;                0.000 ;               32.029 ;               13.832 ;               51.197 ;               94.983 ; Dbmsys.2018.10.24.152554660.json.gz 
               25.883 ;               22.228 ;                0.000 ;               32.065 ;               13.832 ;               51.197 ;               94.983 ; Dbmsys.2018.10.24.153555588.json.gz 
               26.050 ;               22.235 ;                0.000 ;               32.088 ;               13.825 ;               51.197 ;               94.983 ; Dbmsys.2018.10.24.154556766.json.gz 
               26.217 ;               22.289 ;                0.001 ;               32.218 ;               13.817 ;               51.197 ;               94.983 ; Dbmsys.2018.10.24.155557603.json.gz 
               26.383 ;               22.272 ;                0.000 ;               32.180 ;               13.817 ;               51.197 ;               94.983 ; Dbmsys.2018.10.24.160559714.json.gz 
               26.550 ;               22.236 ;                0.000 ;               32.117 ;               13.799 ;               51.197 ;               94.983 ; Dbmsys.2018.10.24.161601908.json.gz 
               26.717 ;               22.272 ;                0.000 ;               32.204 ;               13.793 ;               51.197 ;               94.983 ; Dbmsys.2018.10.24.162603644.json.gz 
               26.883 ;               22.259 ;                0.000 ;               32.181 ;               13.787 ;               51.197 ;               94.983 ; Dbmsys.2018.10.24.163605518.json.gz 
               27.050 ;               22.256 ;                0.000 ;               32.181 ;               13.781 ;               51.197 ;               94.983 ; Dbmsys.2018.10.24.164607364.json.gz 
               27.233 ;               22.254 ;                0.000 ;               32.181 ;               13.774 ;               51.197 ;               94.983 ; Dbmsys.2018.10.24.165609120.json.gz 
               27.400 ;               22.237 ;                0.000 ;               32.157 ;               13.761 ;               51.197 ;               94.983 ; Dbmsys.2018.10.24.170611665.json.gz 
               27.567 ;               22.238 ;                0.000 ;               32.157 ;               13.762 ;               51.197 ;               94.983 ; Dbmsys.2018.10.24.171613710.json.gz 
               27.733 ;               22.213 ;                0.000 ;               32.114 ;               13.750 ;               51.197 ;               94.983 ; Dbmsys.2018.10.24.172615812.json.gz 
               27.900 ;               22.213 ;                0.000 ;               32.114 ;               13.750 ;               51.197 ;               94.983 ; Dbmsys.2018.10.24.173618147.json.gz 
               28.067 ;               22.208 ;                0.000 ;               32.113 ;               13.738 ;               51.197 ;               94.983 ; Dbmsys.2018.10.24.174619931.json.gz 
               28.233 ;               22.205 ;                0.000 ;               32.113 ;               13.731 ;               51.197 ;               94.983 ; Dbmsys.2018.10.24.175621357.json.gz 
               28.400 ;               22.205 ;                0.000 ;               32.113 ;               13.731 ;               51.197 ;               94.983 ; Dbmsys.2018.10.24.180623741.json.gz 
               28.567 ;               22.197 ;                0.000 ;               32.113 ;               13.713 ;               51.197 ;               94.983 ; Dbmsys.2018.10.24.181626172.json.gz 
               28.733 ;               22.197 ;                0.000 ;               32.113 ;               13.713 ;               51.197 ;               94.983 ; Dbmsys.2018.10.24.182628076.json.gz 
